Delivery Point,Avg_6M_Volume,Zero_Volume_Months,Churn_Probability_%,Risk_Profile
601034,77025.0,0,0.05,Low Risk (Zone 5/6)
601048,112700.0,0,0.05,Low Risk (Zone 5/6)
626590,82296.5,0,0.05,Low Risk (Zone 5/6)
626591,64091.65,0,0.05,Low Risk (Zone 5/6)
625451,34414.9,0,0.05,Low Risk (Zone 5/6)
625515,37407.0,0,0.05,Low Risk (Zone 5/6)
625548,67103.3,0,0.05,Low Risk (Zone 5/6)
625597,81376.0,0,0.05,Low Risk (Zone 5/6)
625636,54197.333333333336,0,0.05,Low Risk (Zone 5/6)
625643,26892.233333333334,0,0.05,Low Risk (Zone 5/6)
625645,18761.5,0,0.05,Low Risk (Zone 5/6)
625681,64755.340000000004,0,0.05,Low Risk (Zone 5/6)
625684,46143.5,0,0.05,Low Risk (Zone 5/6)
625777,111400.0,0,0.05,Low Risk (Zone 5/6)
625780,114697.15,0,0.05,Low Risk (Zone 5/6)
625801,93587.31333333334,0,0.05,Low Risk (Zone 5/6)
625885,105600.0,0,0.05,Low Risk (Zone 5/6)
601131,82100.0,0,0.05,Low Risk (Zone 5/6)
625894,77100.0,0,0.05,Low Risk (Zone 5/6)
625921,116941.0,0,0.05,Low Risk (Zone 5/6)
624191,121545.0,0,0.05,Low Risk (Zone 5/6)
624237,106928.0,0,0.05,Low Risk (Zone 5/6)
624289,84943.8,0,0.05,Low Risk (Zone 5/6)
624311,82555.375,0,0.05,Low Risk (Zone 5/6)
624322,80800.0,0,0.05,Low Risk (Zone 5/6)
624360,99446.0,0,0.05,Low Risk (Zone 5/6)
624771,120700.0,0,0.05,Low Risk (Zone 5/6)
601273,116300.0,0,0.05,Low Risk (Zone 5/6)
601286,52966.666666666664,0,0.05,Low Risk (Zone 5/6)
625295,103500.0,0,0.05,Low Risk (Zone 5/6)
625302,77808.0,0,0.05,Low Risk (Zone 5/6)
625313,147300.0,0,0.05,Low Risk (Zone 5/6)
625355,49895.85,0,0.05,Low Risk (Zone 5/6)
625356,104183.5,0,0.05,Low Risk (Zone 5/6)
623152,84560.5,0,0.05,Low Risk (Zone 5/6)
623251,80213.0,0,0.05,Low Risk (Zone 5/6)
623523,24957.666666666668,0,0.05,Low Risk (Zone 5/6)
623601,71851.175,0,0.05,Low Risk (Zone 5/6)
623737,106055.0,0,0.05,Low Risk (Zone 5/6)
623764,55646.5,0,0.05,Low Risk (Zone 5/6)
623780,78640.0,0,0.05,Low Risk (Zone 5/6)
623784,78083.4,0,0.05,Low Risk (Zone 5/6)
623793,49150.0,0,0.05,Low Risk (Zone 5/6)
623871,140000.0,0,0.05,Low Risk (Zone 5/6)
623900,117423.0,0,0.05,Low Risk (Zone 5/6)
623926,74412.15,0,0.05,Low Risk (Zone 5/6)
624014,102208.8,0,0.05,Low Risk (Zone 5/6)
601293,41760.0,0,0.05,Low Risk (Zone 5/6)
624122,62823.333333333336,0,0.05,Low Risk (Zone 5/6)
624144,113718.8,0,0.05,Low Risk (Zone 5/6)
621435,73300.0,0,0.05,Low Risk (Zone 5/6)
621623,94151.8,0,0.05,Low Risk (Zone 5/6)
621641,77117.0,0,0.05,Low Risk (Zone 5/6)
622144,27048.0,0,0.05,Low Risk (Zone 5/6)
622325,138060.0,0,0.05,Low Risk (Zone 5/6)
622460,49968.5,0,0.05,Low Risk (Zone 5/6)
622463,135286.0,0,0.05,Low Risk (Zone 5/6)
622522,126610.0,0,0.05,Low Risk (Zone 5/6)
622731,50816.65,0,0.05,Low Risk (Zone 5/6)
622823,102000.0,0,0.05,Low Risk (Zone 5/6)
622867,142700.0,0,0.05,Low Risk (Zone 5/6)
623006,138533.0,0,0.05,Low Risk (Zone 5/6)
623050,48768.25,0,0.05,Low Risk (Zone 5/6)
623093,40900.0,0,0.05,Low Risk (Zone 5/6)
601411,130065.0,0,0.05,Low Risk (Zone 5/6)
601435,111600.0,0,0.05,Low Risk (Zone 5/6)
620682,60456.5,0,0.05,Low Risk (Zone 5/6)
620720,55631.73333333334,0,0.05,Low Risk (Zone 5/6)
620740,40699.44,0,0.05,Low Risk (Zone 5/6)
620821,119358.7,0,0.05,Low Risk (Zone 5/6)
620879,124681.0,0,0.05,Low Risk (Zone 5/6)
620886,109690.3,0,0.05,Low Risk (Zone 5/6)
620941,76623.0,0,0.05,Low Risk (Zone 5/6)
620942,71707.0,0,0.05,Low Risk (Zone 5/6)
621109,52773.0,0,0.05,Low Risk (Zone 5/6)
621132,108194.0,0,0.05,Low Risk (Zone 5/6)
601493,81049.9,0,0.05,Low Risk (Zone 5/6)
601532,52874.2,0,0.05,Low Risk (Zone 5/6)
601562,122362.66666666667,0,0.05,Low Risk (Zone 5/6)
621276,58243.833333333336,0,0.05,Low Risk (Zone 5/6)
621288,106582.0,0,0.05,Low Risk (Zone 5/6)
617975,89317.6,0,0.05,Low Risk (Zone 5/6)
618000,71745.66666666667,0,0.05,Low Risk (Zone 5/6)
618942,82277.25,0,0.05,Low Risk (Zone 5/6)
619072,79690.5,0,0.05,Low Risk (Zone 5/6)
619308,41090.0,0,0.05,Low Risk (Zone 5/6)
619440,115100.0,0,0.05,Low Risk (Zone 5/6)
619583,107158.09999999999,0,0.05,Low Risk (Zone 5/6)
619635,79112.0,0,0.05,Low Risk (Zone 5/6)
619673,51737.45,0,0.05,Low Risk (Zone 5/6)
619963,71100.0,0,0.05,Low Risk (Zone 5/6)
620401,106231.5,0,0.05,Low Risk (Zone 5/6)
620568,71592.2,0,0.05,Low Risk (Zone 5/6)
601637,112745.0,0,0.05,Low Risk (Zone 5/6)
620618,57300.0,0,0.05,Low Risk (Zone 5/6)
620661,64395.5,0,0.05,Low Risk (Zone 5/6)
617625,53463.85,0,0.05,Low Risk (Zone 5/6)
617671,102122.5,0,0.05,Low Risk (Zone 5/6)
617674,100712.5,0,0.05,Low Risk (Zone 5/6)
